cve_ent,cve_mun,productores,produccion_total,gm,imn,precio,Escenario_marginacion,Escenario_precio
21,203,113.0,35.5749,Medio,0.841710918697652,11090.21,0.0,0.0
26,003,279.0,146.4355,Medio,0.836740154095614,11095.0,0.0,0.0
20,140,82.0,14.3403,Medio,0.850024221916219,11097.0,0.0,0.0
21,056,9.0,5.806,Medio,0.831765067856636,11099.47,0.0,0.0
30,106,132.0,19.4227,Medio,0.842935411241042,11100.81,0.0,0.0
07,053,28.0,3.7796,Alto,0.822800995347181,11107.02,0.0,0.0
31,076,223.0,10.83,Medio,0.829741723940223,11107.64,0.0,0.0
30,160,213.0,55.2635,Medio,0.837350598436248,11110.0,0.0,0.0
17,023,13.0,3.9405,Medio,0.825885700339526,11115.26,0.0,0.0
07,123,78.0,41.6932,Medio,0.83307056764427,11124.67,0.0,0.0
17,001,14.0,3.1401,Bajo,0.870522524119135,11135.0,0.0,0.0
24,021,626.0,113.137,Medio,0.845953547009437,11135.25,0.0,0.0
20,052,69.0,13.5126,Medio,0.833369589276423,11151.42,0.0,0.0
28,034,211.0,216.4996,Medio,0.828848814997383,11172.94,0.0,0.0
20,185,78.0,29.6001,Medio,0.830657058539564,11177.07,0.0,0.0
20,102,79.0,12.0638,Medio,0.840171431417477,11191.33,0.0,0.0
21,069,212.0,100.8904,Medio,0.834040650470711,11193.85,0.0,0.0
21,051,53.0,19.8403,Bajo,0.862117714119169,11200.0,0.0,0.0
20,413,34.0,13.1638,Bajo,0.870785423851769,11200.0,0.0,0.0
24,045,577.0,110.0911,Medio,0.840135526195845,11203.06,0.0,0.0
30,086,512.0,184.4824,Medio,0.83306757015451,11203.45,0.0,0.0
27,016,92.0,20.5048,Bajo,0.869831089490264,11210.0,0.0,0.0
30,175,427.0,144.6487,Medio,0.832559153591164,11210.8,0.0,0.0
27,008,1042.0,212.7951,Medio,0.848732915110112,11227.52,0.0,0.0
20,059,1609.0,310.0268,Medio,0.843197138793121,11231.36,0.0,0.0
21,204,37.0,0.8689,Bajo,0.861613912140765,11234.83,0.0,0.0
07,105,58.0,31.917,Medio,0.84247601841311,11240.42,0.0,0.0
20,559,113.0,39.845,Medio,0.839468377789303,11253.1,0.0,0.0
30,047,2003.0,333.0486,Alto,0.823814650434722,11253.25,0.0,0.0
20,298,75.0,9.6919,Medio,0.836661153106336,11259.5,0.0,0.0
07,033,220.0,50.4016,Alto,0.782524185441443,11260.41,0.0,0.0
20,570,287.0,66.6254,Medio,0.847601382326397,11264.26,0.0,0.0
20,408,16.0,3.772,Medio,0.835624692954032,11270.96,0.0,0.0
15,005,11.0,0.2678,Bajo,0.86154930067557,11271.4,0.0,0.0
15,077,36.0,5.8975,Medio,0.843295610230908,11282.32,0.0,0.0
17,033,41.0,12.26,Bajo,0.870006873820877,11285.0,0.0,0.0
20,167,35.0,4.127,Alto,0.780022402950721,11286.83,0.0,0.0
30,150,118.0,24.9291,Medio,0.832554460715993,11292.26,0.0,0.0
11,014,1030.0,628.5055,Bajo,0.861420082358384,11299.475,0.0,0.0
04,005,98.0,43.9005,Bajo,0.871965333325626,11300.0,0.0,0.0
20,544,21.0,1.443,Alto,0.823928165649007,11301.32,0.0,0.0
24,030,37.0,5.5601,Medio,0.840732602515467,11308.31,0.0,0.0
21,188,573.0,121.2818,Alto,0.822862634345102,11309.96,0.0,0.0
28,039,295.0,102.1362,Medio,0.840994946620825,11321.41,0.0,0.0
13,004,117.0,8.9958,Medio,0.836639145156619,11324.64,0.0,0.0
23,006,641.0,163.4789,Alto,0.82203500816188,11328.18,0.0,0.0
30,054,12.0,3.519,Medio,0.843283818094868,11347.29,0.0,0.0
20,100,3.0,0.2,Alto,0.784249852529153,11351.283333333333,0.0,0.0
24,001,629.0,182.5354,Medio,0.826510599367222,11365.06,0.0,0.0
20,568,38.0,4.202,Medio,0.825343200642538,11371.67,0.0,0.0
20,442,4.0,0.1017,Medio,0.841749366769971,11375.84,0.0,0.0
20,055,82.0,8.2548,Medio,0.83979689944364,11380.35,0.0,0.0
20,414,28.0,4.965,Medio,0.826818013952288,11386.2,0.0,0.0
15,112,43.0,5.5289,Medio,0.839418417229606,11388.34,0.0,0.0
24,010,603.0,170.4887,Medio,0.846040159557554,11388.79,0.0,0.0
20,463,36.0,9.15,Medio,0.831189154905432,11403.05,0.0,0.0
14,122,28.0,46.1109,Medio,0.83994061362682,11403.75,0.0,0.0
31,009,40.0,1.6124,Medio,0.841313698662877,11406.99,0.0,0.0
21,033,36.0,4.4,Medio,0.826002948735323,11426.81,0.0,0.0
11,009,440.0,314.8152,Medio,0.84720218297093,11427.885,0.0,0.0
20,009,28.0,8.73,Alto,0.819935343720182,11428.6,0.0,0.0
15,045,37.0,9.3336,Bajo,0.862511316142933,11440.0,0.0,0.0
21,127,333.0,20.8878,Alto,0.8228683512189,11452.965,0.0,0.0
21,161,168.0,49.9519,Bajo,0.858163305222127,11457.726666666667,0.0,0.0
30,153,19.0,3.37,Medio,0.835903545246209,11463.314999999999,0.0,0.0
21,078,81.0,5.2681,Alto,0.775600163531079,11468.375,0.0,0.0
30,171,31.0,2.485,Alto,0.783224406816879,11478.53,0.0,0.0
13,022,58.0,14.9659,Bajo,0.882009519506763,11494.58,0.0,0.0
12,009,549.0,50.4093,Muy alto,0.665864787590067,11500.0,730934.85,0.0
20,487,178.0,44.903,Medio,0.830574334910554,11525.43,0.0,0.0
16,031,25.0,11.293,Medio,0.847238899271733,11530.0,0.0,0.0
30,132,151.0,16.695,Medio,0.843791106889687,11540.0,0.0,0.0
07,034,330.0,311.0111,Medio,0.834770524461207,11541.0,0.0,0.0
20,347,92.0,31.9033,Medio,0.829219546274829,11544.0,0.0,0.0
32,001,8.0,9.7674,Bajo,0.874328878115603,11544.27,0.0,0.0
20,453,7.0,0.505,Alto,0.818271283390886,11555.0,0.0,0.0
30,169,189.0,126.0701,Alto,0.822261065991006,11559.0,0.0,0.0
21,001,382.0,107.3284,Medio,0.848493706079521,11560.0,0.0,0.0
31,056,198.0,41.083,Medio,0.837714358261643,11570.0,0.0,0.0
20,506,56.0,15.616,Medio,0.832692163189187,11577.0,0.0,0.0
21,192,27.0,2.65,Medio,0.831941383636976,11580.0,0.0,0.0
20,486,26.0,2.328,Medio,0.840093097791325,11590.0,0.0,0.0
31,106,5.0,0.2324,Medio,0.851160336956591,11594.0,0.0,0.0
31,062,12.0,0.18,Medio,0.843390194758677,11598.96,0.0,0.0
20,054,8.0,1.55,Medio,0.843790341063647,11600.0,0.0,0.0
20,537,167.0,17.483,Alto,0.820278433430191,11605.0,0.0,0.0
20,076,4.0,0.165,Medio,0.830253205974358,11605.92,0.0,0.0
13,043,286.0,6.7337,Medio,0.83985609129748,11614.0,0.0,0.0
20,113,8.0,2.195,Medio,0.832388196641123,11618.0,0.0,0.0
21,130,337.0,143.5176,Medio,0.848143611603712,11620.0,0.0,0.0
30,015,15.0,6.9551,Medio,0.844153976946648,11622.0,0.0,0.0
07,041,3698.0,2271.5488,Alto,0.818778580167671,11623.105,0.0,0.0
21,169,1148.0,154.4524,Alto,0.82395348864014,11625.666666666666,0.0,0.0
08,063,200.0,98.867,Medio,0.844140268245057,11630.0,0.0,0.0
21,103,169.0,18.4093,Alto,0.822647649208498,11633.0,0.0,0.0
20,050,134.0,8.725,Alto,0.776058715887964,11653.32,0.0,0.0
20,369,31.0,1.2057,Medio,0.848339776128761,11655.0,0.0,0.0
20,250,93.0,28.3563,Medio,0.846174707099716,11660.0,0.0,0.0
13,006,296.0,29.5023,Medio,0.849250504555625,11662.5,0.0,0.0
07,098,164.0,183.3591,Alto,0.776546481501695,11662.746666666666,0.0,0.0
15,086,43.0,8.0693,Medio,0.828499397359907,11663.0,0.0,0.0
20,179,24.0,6.85,Medio,0.828362521317292,11665.0,0.0,0.0
15,097,36.0,7.296,Medio,0.838420154986608,11670.0,0.0,0.0
32,051,4006.0,10537.3217,Bajo,0.872306557639536,11671.3,0.0,0.0
30,158,138.0,49.1161,Alto,0.819511509288672,11672.0,0.0,0.0
20,431,21.0,3.273,Medio,0.844241608619719,11676.666666666666,0.0,0.0
30,126,70.0,32.3845,Bajo,0.871196497180071,11680.0,0.0,0.0
15,049,21.0,5.5492,Bajo,0.87085286996613,11680.0,0.0,0.0
14,123,11.0,2.52,Bajo,0.871801492366406,11680.0,0.0,0.0
20,404,107.0,74.3121,Bajo,0.870994301552586,11680.0,0.0,0.0
26,069,98.0,58.5253,Medio,0.832844122502461,11680.0,0.0,0.0
11,024,4.0,6.33,Bajo,0.872670638925684,11681.0,0.0,0.0
20,479,9.0,0.64,Medio,0.833840077453534,11681.335,0.0,0.0
21,083,739.0,119.8986,Alto,0.821095409622676,11681.5,0.0,0.0
21,071,1357.0,270.7529,Bajo,0.871556788127969,11681.5,0.0,0.0
28,016,68.0,120.2137,Bajo,0.871503615493739,11682.5,0.0,0.0
32,046,173.0,251.5149,Bajo,0.871642361785978,11682.5,0.0,0.0
11,036,8.0,32.7572,Bajo,0.872024983531029,11682.5,0.0,0.0
20,545,91.0,18.347,Bajo,0.872063406087953,11682.59,0.0,0.0
17,004,34.0,22.682,Bajo,0.870038515583774,11683.5,0.0,0.0
21,094,250.0,43.1755,Bajo,0.872570530264329,11684.0,0.0,0.0
28,028,33.0,52.5932,Bajo,0.873068849970734,11685.0,0.0,0.0
30,134,123.0,29.1193,Bajo,0.87182386754526,11685.0,0.0,0.0
20,096,110.0,143.7582,Bajo,0.873118546439885,11685.0,0.0,0.0
29,012,148.0,48.5232,Bajo,0.871265814394652,11685.0,0.0,0.0
15,079,20.0,2.6156,Bajo,0.872260520640315,11685.0,0.0,0.0
07,086,147.0,173.1222,Medio,0.848429030723386,11686.0,0.0,0.0
32,018,28.0,7.426,Bajo,0.872339551817257,11686.0,0.0,0.0
28,012,59.0,49.8589,Bajo,0.87171540120861,11686.25,0.0,0.0
29,047,11.0,5.17,Bajo,0.872823376019493,11687.5,0.0,0.0
10,011,237.0,1296.4342,Bajo,0.870715152876789,11690.0,0.0,0.0
30,017,17.0,1.8637,Bajo,0.872090410113783,11690.0,0.0,0.0
30,112,185.0,33.6301,Bajo,0.871940674747078,11690.0,0.0,0.0
16,039,5.0,2.35,Bajo,0.870209223468322,11691.25,0.0,0.0
30,074,11.0,3.4677,Bajo,0.870916295423544,11692.5,0.0,0.0
10,030,99.0,82.1838,Bajo,0.87267437489395,11694.0,0.0,0.0
21,180,514.0,438.2564,Bajo,0.872328997056723,11695.0,0.0,0.0
16,034,57.0,22.332,Bajo,0.872437548932548,11698.6,0.0,0.0
15,082,452.0,103.4579,Medio,0.846085610638571,11699.974999999999,0.0,0.0
21,076,33.0,5.0116,Medio,0.828441301527304,11700.0,0.0,0.0
20,499,56.0,2.02,Bajo,0.871380826619297,11700.0,0.0,0.0
11,046,443.0,360.8597,Bajo,0.869762985800345,11700.0,0.0,0.0
30,187,483.0,67.8608,Alto,0.820365714620377,11700.0,0.0,0.0
14,104,47.0,151.2429,Bajo,0.87152541106814,11700.0,0.0,0.0
11,013,737.0,261.7295,Bajo,0.869772557712951,11702.0,0.0,0.0
16,113,97.0,75.3268,Bajo,0.872110493963746,11702.5,0.0,0.0
11,008,53.0,9.3281,Bajo,0.873087272138425,11702.835,0.0,0.0
14,109,10.0,5.75,Bajo,0.873146645847854,11705.665,0.0,0.0
32,041,215.0,41.6953,Alto,0.823217789914716,11715.0,0.0,0.0
21,075,168.0,7.7437,Medio,0.841060568722374,11730.0,0.0,0.0
21,004,552.0,425.3019,Medio,0.8503256893407,11732.666666666666,0.0,0.0
20,278,34.0,9.1281,Alto,0.779417921843535,11739.885,0.0,0.0
21,196,27.0,0.596,Medio,0.838233522201811,11740.0,0.0,0.0
20,415,74.0,12.0174,Medio,0.825377742284261,11742.403333333334,0.0,0.0
22,018,270.0,38.8147,Medio,0.83506131074894,11749.5,0.0,0.0
27,001,602.0,181.3762,Medio,0.845029636612851,11750.0,0.0,0.0
20,555,142.0,24.403,Medio,0.833464408463296,11750.0,0.0,0.0
11,012,25.0,15.6346,Bajo,0.880015303810654,11762.4,0.0,0.0
30,063,211.0,14.4674,Alto,0.818898697605066,11766.0,0.0,0.0
21,202,680.0,71.3047,Alto,0.788611978732041,11785.590000000002,0.0,0.0
21,172,1107.0,87.1393,Medio,0.829423468511495,11790.0,0.0,0.0
20,018,31.0,4.301,Alto,0.818437552737672,11810.0,0.0,0.0
32,026,979.0,809.6499,Medio,0.844669245682554,11810.236666666666,0.0,0.0
30,078,17.0,3.896,Alto,0.796609831989349,11814.0,0.0,0.0
21,068,13.0,1.8319,Alto,0.782354462325618,11832.743333333334,0.0,0.0
21,179,570.0,165.963,Medio,0.845503216689538,11836.666666666666,0.0,0.0
21,029,34.0,1.5552,Alto,0.813816798568157,11850.0,0.0,0.0
