,cve_ent,cve_mun,productores,vacas_total,vacas_prom,tipo,produccion_total
1219,20,513,3,26,8.666666667,pequeño,26
1220,20,515,26,130,5,pequeño,130
1221,20,520,7,17,2.428571429,pequeño,17
1222,20,523,7,11,1.571428571,pequeño,11
1223,20,525,148,1224,8.27027027,pequeño,1224
1224,20,526,66,521,7.893939394,pequeño,521
1225,20,530,1,1,1,pequeño,1
1226,20,531,29,90,3.103448276,pequeño,90
1227,20,532,15,76,5.066666667,pequeño,76
1228,20,537,22,67,3.045454545,pequeño,67
1229,20,539,56,279,4.982142857,pequeño,279
1230,20,540,15,35,2.333333333,pequeño,35
1231,20,543,37,272,7.351351351,pequeño,272
1232,20,545,1,1,1,pequeño,1
1233,20,546,1,5,5,pequeño,5
1234,20,547,10,30,3,pequeño,30
1235,20,549,16,47,2.9375,pequeño,47
1236,20,550,4,16,4,pequeño,16
1237,20,553,6,15,2.5,pequeño,15
1238,20,555,43,107,2.488372093,pequeño,107
1239,20,557,129,1146,8.88372093,pequeño,1146
1240,20,559,12,50,4.166666667,pequeño,50
1241,20,562,2,3,1.5,pequeño,3
1242,20,565,10,39,3.9,pequeño,39
1243,20,566,30,70,2.333333333,pequeño,70
1244,20,569,2,2,1,pequeño,2
1245,20,570,37,116,3.135135135,pequeño,116
1246,21,001,24,47,1.958333333,pequeño,47
1247,21,003,34,128,3.764705882,pequeño,128
1248,21,004,20,103,5.15,pequeño,103
1249,21,005,1,1,1,pequeño,1
1250,21,006,9,13,1.444444444,pequeño,13
1251,21,007,8,78,9.75,pequeño,78
1252,21,008,78,204,2.615384615,pequeño,204
1253,21,010,19,110,5.789473684,pequeño,110
1254,21,011,6,45,7.5,pequeño,45
1255,21,012,6,10,1.666666667,pequeño,10
1256,21,013,16,188,11.75,pequeño,188
1257,21,014,6,9,1.5,pequeño,9
1258,21,015,11,54,4.909090909,pequeño,54
1259,21,016,37,67,1.810810811,pequeño,67
1260,21,017,10,27,2.7,pequeño,27
1261,21,019,122,900,7.37704918,pequeño,900
1262,21,020,19,527,27.73684211,pequeño,527
1263,21,022,7,21,3,pequeño,21
1264,21,023,8,19,2.375,pequeño,19
1265,21,024,8,54,6.75,pequeño,54
1266,21,025,33,342,10.36363636,pequeño,342
1267,21,026,45,119,2.644444444,pequeño,119
1268,21,029,1,1,1,pequeño,1
1269,21,032,21,102,4.857142857,pequeño,102
1270,21,034,67,313,4.671641791,pequeño,313
1271,21,035,1,20,20,pequeño,20
1272,21,038,7,38,5.428571429,pequeño,38
1273,21,039,1,1,1,pequeño,1
1274,21,040,63,151,2.396825397,pequeño,151
1275,21,041,27,105,3.888888889,pequeño,105
1276,21,042,2,12,6,pequeño,12
1277,21,043,24,44,1.833333333,pequeño,44
1278,21,044,31,95,3.064516129,pequeño,95
1279,21,045,38,91,2.394736842,pequeño,91
1280,21,046,2,4,2,pequeño,4
1281,21,047,107,491,4.588785047,pequeño,491
1282,21,048,27,104,3.851851852,pequeño,104
1283,21,049,36,53,1.472222222,pequeño,53
1284,21,050,5,5,1,pequeño,5
1285,21,051,21,50,2.380952381,pequeño,50
1286,21,053,815,2348,2.880981595,pequeño,2348
1287,21,054,26,51,1.961538462,pequeño,51
1288,21,055,5,16,3.2,pequeño,16
1289,21,056,7,57,8.142857143,pequeño,57
1290,21,057,247,693,2.805668016,pequeño,693
1291,21,058,2,8,4,pequeño,8
1292,21,061,2,8,4,pequeño,8
1293,21,063,54,106,1.962962963,pequeño,106
1294,21,064,69,519,7.52173913,pequeño,519
1295,21,065,2,3,1.5,pequeño,3
1296,21,066,1,2,2,pequeño,2
1297,21,067,17,149,8.764705882,pequeño,149
1298,21,068,11,24,2.181818182,pequeño,24
1299,21,069,19,173,9.105263158,pequeño,173
1300,21,070,2,2,1,pequeño,2
1301,21,071,70,230,3.285714286,pequeño,230
1302,21,072,4,6,1.5,pequeño,6
1303,21,073,9,62,6.888888889,pequeño,62
1304,21,074,429,2131,4.967365967,pequeño,2131
1305,21,075,4,32,8,pequeño,32
1306,21,076,42,497,11.83333333,pequeño,497
1307,21,077,3,5,1.666666667,pequeño,5
1308,21,078,4,13,3.25,pequeño,13
1309,21,079,24,290,12.08333333,pequeño,290
1310,21,081,49,203,4.142857143,pequeño,203
1311,21,082,1,2,2,pequeño,2
1312,21,083,320,713,2.228125,pequeño,713
1313,21,084,2,3,1.5,pequeño,3
1314,21,085,16,45,2.8125,pequeño,45
1315,21,086,47,150,3.191489362,pequeño,150
1316,21,087,77,474,6.155844156,pequeño,474
1317,21,088,2,5,2.5,pequeño,5
1318,21,089,16,60,3.75,pequeño,60
1319,21,090,34,81,2.382352941,pequeño,81
1320,21,093,7,9,1.285714286,pequeño,9
1321,21,094,759,3999,5.268774704,pequeño,3999
1322,21,096,24,77,3.208333333,pequeño,77
1323,21,097,5,17,3.4,pequeño,17
1324,21,098,1,2,2,pequeño,2
1325,21,099,413,1035,2.506053269,pequeño,1035
1326,21,100,2,4,2,pequeño,4
1327,21,101,20,31,1.55,pequeño,31
1328,21,102,9,21,2.333333333,pequeño,21
1329,21,104,41,2018,49.2195122,mediano,2018
1330,21,105,12,44,3.666666667,pequeño,44
1331,21,106,96,863,8.989583333,pequeño,863
1332,21,107,1,2,2,pequeño,2
1333,21,108,176,1162,6.602272727,pequeño,1162
1334,21,109,7,10,1.428571429,pequeño,10
1335,21,110,245,670,2.734693878,pequeño,670
1336,21,111,62,340,5.483870968,pequeño,340
1337,21,112,3,10,3.333333333,pequeño,10
1338,21,113,8,23,2.875,pequeño,23
1339,21,114,79,264,3.341772152,pequeño,264
1340,21,115,10,18,1.8,pequeño,18
1341,21,116,29,55,1.896551724,pequeño,55
1342,21,117,1,2,2,pequeño,2
1343,21,118,15,44,2.933333333,pequeño,44
1344,21,119,88,655,7.443181818,pequeño,655
1345,21,120,1,1,1,pequeño,1
1346,21,121,1,5,5,pequeño,5
1347,21,122,30,136,4.533333333,pequeño,136
1348,21,124,2,47,23.5,pequeño,47
1349,21,125,115,2558,22.24347826,pequeño,2558
1350,21,126,11,43,3.909090909,pequeño,43
1351,21,127,2,14,7,pequeño,14
1352,21,128,168,2046,12.17857143,pequeño,2046
1353,21,129,5,17,3.4,pequeño,17
1354,21,130,9,22,2.444444444,pequeño,22
1355,21,132,389,1905,4.897172237,pequeño,1905
1356,21,133,1,3,3,pequeño,3
1357,21,134,89,300,3.370786517,pequeño,300
1358,21,135,9,24,2.666666667,pequeño,24
1359,21,136,15,61,4.066666667,pequeño,61
1360,21,137,9,15,1.666666667,pequeño,15
1361,21,138,4,5,1.25,pequeño,5
1362,21,139,2,3,1.5,pequeño,3
1363,21,140,43,209,4.860465116,pequeño,209
1364,21,142,44,980,22.27272727,pequeño,980
1365,21,143,97,387,3.989690722,pequeño,387
1366,21,144,5,18,3.6,pequeño,18
1367,21,145,3,19,6.333333333,pequeño,19
1368,21,147,9,33,3.666666667,pequeño,33
1369,21,148,2,3,1.5,pequeño,3
1370,21,149,32,118,3.6875,pequeño,118
1371,21,151,70,398,5.685714286,pequeño,398
1372,21,152,17,57,3.352941176,pequeño,57
1373,21,153,42,232,5.523809524,pequeño,232
1374,21,154,590,3665,6.211864407,pequeño,3665
1375,21,155,15,46,3.066666667,pequeño,46
1376,21,156,94,369,3.925531915,pequeño,369
1377,21,157,17,112,6.588235294,pequeño,112
1378,21,158,55,206,3.745454545,pequeño,206
1379,21,160,28,142,5.071428571,pequeño,142
1380,21,161,37,123,3.324324324,pequeño,123
1381,21,162,6,14,2.333333333,pequeño,14
1382,21,164,134,496,3.701492537,pequeño,496
1383,21,166,2,11,5.5,pequeño,11
1384,21,168,2,7,3.5,pequeño,7
1385,21,169,3,18,6,pequeño,18
1386,21,170,265,1000,3.773584906,pequeño,1000
1387,21,171,21,269,12.80952381,pequeño,269
1388,21,172,17,33,1.941176471,pequeño,33
1389,21,173,15,47,3.133333333,pequeño,47
1390,21,174,38,147,3.868421053,pequeño,147
1391,21,175,2,3,1.5,pequeño,3
1392,21,176,1,2,2,pequeño,2
1393,21,177,49,101,2.06122449,pequeño,101
1394,21,178,6,14,2.333333333,pequeño,14
1395,21,179,22,42,1.909090909,pequeño,42
1396,21,180,189,576,3.047619048,pequeño,576
1397,21,181,126,455,3.611111111,pequeño,455
1398,21,182,34,319,9.382352941,pequeño,319
1399,21,183,8,18,2.25,pequeño,18
1400,21,184,2,2,1,pequeño,2
1401,21,185,3,214,71.33333333,mediano,214
1402,21,186,103,597,5.796116505,pequeño,597
1403,21,187,4,7,1.75,pequeño,7
1404,21,188,9,34,3.777777778,pequeño,34
1405,21,189,361,2927,8.108033241,pequeño,2927
1406,21,191,12,65,5.416666667,pequeño,65
1407,21,192,11,23,2.090909091,pequeño,23
1408,21,193,1,16,16,pequeño,16
1409,21,194,106,786,7.41509434,pequeño,786
1410,21,195,5,6,1.2,pequeño,6
1411,21,196,1,2,2,pequeño,2
1412,21,197,44,191,4.340909091,pequeño,191
1413,21,198,10,71,7.1,pequeño,71
1414,21,199,35,76,2.171428571,pequeño,76
1415,21,201,1,4,4,pequeño,4
1416,21,202,35,50,1.428571429,pequeño,50
1417,21,203,4,13,3.25,pequeño,13
1418,21,204,4,9,2.25,pequeño,9
1419,21,205,36,135,3.75,pequeño,135
1420,21,206,12,72,6,pequeño,72
1421,21,207,90,178,1.977777778,pequeño,178
1422,21,208,246,625,2.540650407,pequeño,625
1423,21,209,2,3,1.5,pequeño,3
1424,21,210,2,8,4,pequeño,8
1425,21,211,48,140,2.916666667,pequeño,140
1426,21,212,4,8,2,pequeño,8
1427,21,213,56,90,1.607142857,pequeño,90
1428,21,214,3,18,6,pequeño,18
1429,21,216,1,2,2,pequeño,2
1430,21,217,2,16,8,pequeño,16
1431,22,001,374,1105,2.954545455,pequeño,1105
1432,22,002,19,46,2.421052632,pequeño,46
1433,22,003,22,55,2.5,pequeño,55
1434,22,004,16,50,3.125,pequeño,50
1435,22,006,21,379,18.04761905,pequeño,379
1436,22,007,38,528,13.89473684,pequeño,528
1437,22,008,31,399,12.87096774,pequeño,399
1438,22,009,60,146,2.433333333,pequeño,146
1439,22,010,57,131,2.298245614,pequeño,131
1440,22,013,12,88,7.333333333,pequeño,88
1441,22,014,27,427,15.81481481,pequeño,427
1442,22,015,3,20,6.666666667,pequeño,20
1443,22,016,89,2413,27.11235955,pequeño,2413
1444,22,017,27,2340,86.66666667,mediano,2340
1445,22,018,32,418,13.0625,pequeño,418
1446,23,002,47,347,7.382978723,pequeño,347
1447,23,003,4,4,1,pequeño,4
1448,23,004,210,1550,7.380952381,pequeño,1550
1449,23,005,2,2,1,pequeño,2
1450,23,006,28,76,2.714285714,pequeño,76
1451,23,007,9,27,3,pequeño,27
1452,23,008,2,5,2.5,pequeño,5
1453,23,010,296,1177,3.976351351,pequeño,1177
1454,23,011,2,8,4,pequeño,8
1455,24,001,34,95,2.794117647,pequeño,95
1456,24,002,127,522,4.11023622,pequeño,522
1457,24,003,91,379,4.164835165,pequeño,379
1458,24,004,62,281,4.532258065,pequeño,281
1459,24,005,7,38,5.428571429,pequeño,38
1460,24,006,46,252,5.47826087,pequeño,252
1461,24,007,126,551,4.373015873,pequeño,551
1462,24,008,24,98,4.083333333,pequeño,98
1463,24,009,25,215,8.6,pequeño,215
1464,24,010,57,200,3.50877193,pequeño,200
1465,24,011,98,375,3.826530612,pequeño,375
1466,24,012,14,50,3.571428571,pequeño,50
1467,24,013,85,285,3.352941176,pequeño,285
1468,24,014,6,17,2.833333333,pequeño,17
1469,24,015,206,862,4.184466019,pequeño,862
1470,24,016,147,1045,7.108843537,pequeño,1045
1471,24,017,41,127,3.097560976,pequeño,127
1472,24,018,7,24,3.428571429,pequeño,24
1473,24,019,30,124,4.133333333,pequeño,124
1474,24,020,246,823,3.345528455,pequeño,823
1475,24,021,115,293,2.547826087,pequeño,293
1476,24,022,96,502,5.229166667,pequeño,502
1477,24,023,30,94,3.133333333,pequeño,94
1478,24,024,94,524,5.574468085,pequeño,524
1479,24,025,182,518,2.846153846,pequeño,518
1480,24,026,10,18,1.8,pequeño,18
1481,24,027,52,241,4.634615385,pequeño,241
1482,24,028,317,1749,5.517350158,pequeño,1749
1483,24,029,234,2198,9.393162393,pequeño,2198
1484,24,030,89,358,4.02247191,pequeño,358
1485,24,031,47,218,4.638297872,pequeño,218
1486,24,032,169,1521,9,pequeño,1521
1487,24,033,132,481,3.643939394,pequeño,481
1488,24,034,137,822,6,pequeño,822
1489,24,035,243,2090,8.600823045,pequeño,2090
1490,24,036,81,354,4.37037037,pequeño,354
1491,24,037,27,182,6.740740741,pequeño,182
1492,24,038,51,279,5.470588235,pequeño,279
1493,24,039,55,645,11.72727273,pequeño,645
1494,24,040,149,1058,7.100671141,pequeño,1058
1495,24,041,63,285,4.523809524,pequeño,285
1496,24,042,123,849,6.902439024,pequeño,849
1497,24,043,37,267,7.216216216,pequeño,267
1498,24,044,19,43,2.263157895,pequeño,43
1499,24,045,191,876,4.586387435,pequeño,876
1500,24,046,311,1611,5.180064309,pequeño,1611
1501,24,047,93,217,2.333333333,pequeño,217
1502,24,048,13,41,3.153846154,pequeño,41
1503,24,049,263,986,3.74904943,pequeño,986
1504,24,050,401,3683,9.184538653,pequeño,3683
1505,24,051,78,332,4.256410256,pequeño,332
1506,24,052,21,90,4.285714286,pequeño,90
1507,24,053,35,69,1.971428571,pequeño,69
1508,24,054,44,143,3.25,pequeño,143
1509,24,055,74,549,7.418918919,pequeño,549
1510,24,056,28,113,4.035714286,pequeño,113
1511,24,057,7,10,1.428571429,pequeño,10
1512,24,058,24,88,3.666666667,pequeño,88
1513,25,001,880,10538,11.975,pequeño,10538
1514,25,002,118,895,7.584745763,pequeño,895
1515,25,003,301,2541,8.441860465,pequeño,2541
1516,25,004,171,1532,8.959064327,pequeño,1532
1517,25,005,206,1567,7.606796117,pequeño,1567
1518,25,006,1141,15446,13.53724803,pequeño,15446
1519,25,007,247,2285,9.251012146,pequeño,2285
1520,25,008,308,3859,12.52922078,pequeño,3859
1521,25,009,136,903,6.639705882,pequeño,903
1522,25,010,635,4435,6.984251969,pequeño,4435
1523,25,011,414,3183,7.688405797,pequeño,3183
1524,25,012,710,11635,16.38732394,pequeño,11635
1525,25,013,246,1522,6.18699187,pequeño,1522
1526,25,014,198,1767,8.924242424,pequeño,1767
1527,25,015,97,822,8.474226804,pequeño,822
1528,25,016,338,3481,10.29881657,pequeño,3481
1529,25,017,328,2499,7.618902439,pequeño,2499
1530,25,018,257,3034,11.80544747,pequeño,3034
1531,26,001,16,117,7.3125,pequeño,117
1532,26,002,91,510,5.604395604,pequeño,510
1533,26,003,378,3027,8.007936508,pequeño,3027
1534,26,004,50,767,15.34,pequeño,767
1535,26,005,60,463,7.716666667,pequeño,463
1536,26,006,109,498,4.568807339,pequeño,498
1537,26,007,8,111,13.875,pequeño,111
1538,26,008,41,183,4.463414634,pequeño,183
1539,26,009,73,568,7.780821918,pequeño,568
1540,26,010,30,179,5.966666667,pequeño,179
1541,26,011,41,206,5.024390244,pequeño,206
1542,26,012,141,2303,16.33333333,pequeño,2303
1543,26,013,62,238,3.838709677,pequeño,238
1544,26,014,28,106,3.785714286,pequeño,106
1545,26,015,11,54,4.909090909,pequeño,54
1546,26,016,33,366,11.09090909,pequeño,366
1547,26,017,27,564,20.88888889,pequeño,564
1548,26,018,342,5710,16.69590643,pequeño,5710
1549,26,019,74,433,5.851351351,pequeño,433
1550,26,020,58,1330,22.93103448,pequeño,1330
1551,26,021,185,2293,12.39459459,pequeño,2293
1552,26,022,103,491,4.766990291,pequeño,491
1553,26,023,206,716,3.475728155,pequeño,716
1554,26,024,43,194,4.511627907,pequeño,194
1555,26,025,49,504,10.28571429,pequeño,504
1556,26,026,153,1243,8.124183007,pequeño,1243
1557,26,027,182,815,4.478021978,pequeño,815
1558,26,028,8,37,4.625,pequeño,37
1559,26,029,252,4036,16.01587302,pequeño,4036
1560,26,030,441,5252,11.90929705,pequeño,5252
1561,26,031,28,171,6.107142857,pequeño,171
1562,26,032,15,163,10.86666667,pequeño,163
1563,26,033,133,1030,7.744360902,pequeño,1030
1564,26,034,12,55,4.583333333,pequeño,55
1565,26,035,156,707,4.532051282,pequeño,707
1566,26,036,107,778,7.271028037,pequeño,778
1567,26,037,133,1651,12.41353383,pequeño,1651
1568,26,038,118,592,5.016949153,pequeño,592
1569,26,039,13,42,3.230769231,pequeño,42
1570,26,040,110,897,8.154545455,pequeño,897
1571,26,041,7,45,6.428571429,pequeño,45
1572,26,042,233,1594,6.841201717,pequeño,1594
1573,26,043,84,711,8.464285714,pequeño,711
1574,26,044,33,367,11.12121212,pequeño,367
1575,26,045,52,459,8.826923077,pequeño,459
