"","cve_ent","cve_mun","productores","superficie_total","produccion_total","produccion_prom"
"111","14","066",24,279.3831,1325.4618,55.227575
"112","14","069",8,13.8423,80.2644,10.03305
"113","14","082",4,35.98,185.3,46.325
"114","14","086",7,35.0155,56.8614,8.12305714285714
"115","14","092",101,622.9116,2909.231,28.8042673267327
"116","14","101",3,14.0003,80,26.6666666666667
"117","14","105",20,147.7384,678.8454,33.94227
"118","14","110",4,41,234.5,58.625
"119","14","123",22,176.8441,618.6738,28.1215363636364
"120","14","124",11,86.3767,471.0768,42.8251636363636
"121","15","001",114,76.6081,57.6413,0.505625438596491
"122","15","002",6,8.81,12.75,2.125
"123","15","003",19,22.926,28.05,1.47631578947368
"124","15","005",26,133.6599,509.0424,19.5785538461538
"125","15","009",8,8.5,24.5,3.0625
"126","15","010",12,22.77,7,0.583333333333333
"127","15","011",7,5.3805,5.8,0.828571428571429
"128","15","012",3,0.7429,1.4808,0.4936
"129","15","014",213,86.843,101.9776,0.478768075117371
"130","15","016",90,438.2189,125.133,1.39036666666667
"131","15","017",27,74.6945,187.5,6.94444444444444
"132","15","018",58,62.3737,125.268,2.15979310344828
"133","15","022",12,41.651,91.5025,7.62520833333333
"134","15","025",102,283.1285,747.5994,7.32940588235294
"135","15","029",53,105.0376,167.0002,3.15094716981132
"136","15","035",4,10,2.51,0.6275
"137","15","036",168,356.2354,49.0855,0.292175595238095
"138","15","039",278,703.7251,1139.5037,4.09893417266187
"139","15","042",67,57.7994,103.9982,1.55221194029851
"140","15","045",17,31.126,48.4198,2.84822352941177
"141","15","047",40,33.5396,53.2431,1.3310775
"142","15","048",38,59.93,113.85,2.99605263157895
"143","15","050",208,785.1,2058.6186,9.89720480769231
"144","15","051",12,10.363,13.715,1.14291666666667
"145","15","056",48,28.6578,21.8084,0.454341666666667
"146","15","059",6,2.804,5.53,0.921666666666667
"147","15","061",10,44.84,70.03,7.003
"148","15","064",16,7.0425,9.8788,0.617425
"149","15","065",26,157.8049,63.01,2.42346153846154
"150","15","068",30,72.0202,125.4,4.18
"151","15","071",23,84.87,39.24,1.70608695652174
"152","15","074",38,14.7937,23.8605,0.627907894736842
"153","15","079",26,59.38,35.001,1.34619230769231
"154","15","081",10,20.72,10.2,1.02
"155","15","083",7,17.3,26,3.71428571428571
"156","15","084",109,478.1929,130.3446,1.19582201834862
